"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"C.C Auchan Faches Thumesnil","PCF00017","C.C Auchan Faches Thumesnil","Route de Vendeville","59155","FACHES-THUMESNIL","50.582217","3.087058"
"GARE DE MAISONS LAFFITTE","PCG00051","Gare De Maisons Laffitte","1 Place de la libération","78600","MAISONS-LAFFITTE","48.945752","2.144115"
"C.C Auchan Englos","PCF00018-171204","C.C Auchan Englos","352 Route Nationale","59320","HAUBOURDIN","50.631186","2.967504"
"Bureau de Poste - Issy Forum","PCG00114","Bureau de Poste - Issy Forum","62 Rue Camille Desmoulins","92130","ISSY-LES-MOULINEAUX","48.830389","2.264967"
"Monop Saint Denis Pleyel","PCF00021","Monop Saint Denis Pleyel","19/29 Rue des Cheminots","93200","SAINT-DENIS","48.917085","2.352420"
"Decathlon Noisy-le-Sec","PCF00025","Decathlon Noisy-le-Sec","83 - 105 Rue de Paris","93130","NOISY-LE-SEC","48.903985","2.467355"
"CC Belle Epine","PCG00115","CC Belle Epine","Avenue du Luxembourg","94531","THIAIS","48.759189","2.372279"
"Monop Bastille","PCF00028","Monop Bastille","62 Rue de la Roquette","75011","PARIS","48.855398","2.374232"
"Monop Toulouse Marché","PCF00022","Monop Toulouse Marché","1 Place Victor HUGO","31000","TOULOUSE","43.607240","1.446499"
"Bureau de Poste - Croix-Rousse","PCG00120","Bureau de Poste Croix-Rousse","167 Boulevard de la Croix Rousse","69004","LYON","45.774682","4.833367"
"CC Les Terrasses du Port","PCF00029","CC Les Terrasses du Port","9 quai du Lazaret","13002","MARSEILLE","43.296482","5.369780"
"Decathlon Villiers en Bière","PCF00032","Decathlon Villiers en Bière","C.C Carrefour","77195","VILLIERS EN BIERE","48.501983","2.584009"
"Bureau de Poste - Bron","PCG00033","Bureau de Poste - Bron","16 rue de Verdun","69500","BRON","45.735473","4.908756"
"CC Parking Mériadeck","PCG00121","CC Parking Mériadeck","Rue Claude Bonnier","33000","BORDEAUX","44.838289","-0.583945"
"Bureau de Poste - Paris Etienne Marcel","PCG00122","Bureau de Poste Etienne Marcel","16 rue Etienne Marcel","75002","PARIS","48.864271","2.348721"
"Decathlon Thiais","PCF00034","Decathlon Thiais","3 Rue de la Résistance","94320","THIAS","48.758604","2.385615"
"Decathlon Toulon","PCF00033-171705","Decathlon Toulon","1215 Chemin des Plantades","83130","LA GARDE","43.139656","6.020910"
"Bureau de Poste - Paris Alesia","PCG00118-161206","Bureau de Poste Paris Alesia","114 B Rue d'Alesia","75014","PARIS","48.829737","2.322120"
"Decathlon Antibes","PCF00035","Decathlon Antibes","Chemin des Terriers Nord","06600","ANTIBES","43.600845","7.078220"
"Bureau de Poste - Orléans Place Charles de Gaulle","PCG00123","Bureau de Poste Orléans Place Charles de Gaulle","9, place de Gaulle","45000","ORLEANS","47.901034","1.902835"
"Bureau de Poste - Paris Monceau","PCG00124","Bureau de Poste Paris Monceau","101 Bvd Malasherbes","75008","PARIS","48.879095","2.314084"
"Monop Louise Michel Levallois","PCF00026","Monop Louise Michel Levallois","41/43 Rue Louise Michel","92300","LEVALLOIS-PERRET","48.889054","2.287985"
"Bureau de Poste - Paris Reuilly","PCG00126","Bureau de Poste Paris Reuilly","30-32 rue de Reuilly","75012","PARIS","48.846599","2.387132"
"Bureau de Poste - Paris Pigalle","PCG00127","Bureau de Poste Paris Pigalle","47 Boulevard de Clichy","75009","PARIS","48.883142","2.334124"
"Bureau de Poste - Paris Cherche Midi","PCG00125","Bureau de Poste Paris Cherche Midi","111-117 rue de Sèvres","75006","PARIS","48.848006","2.319758"
"Bureau de Poste - Paris Simon Bolivar","PCG00128-161212","Bureau de Poste Paris Simon Bolivar","8 rue Clavel","75019","PARIS","48.874947","2.385040"
"Auchan Plaisir MR","PCF00036-171309","Auchan Plaisir MR","161 Chemin departamental","78370","PLAISIR","48.828445","1.961557"
"Bureau de Poste - Paris Victor Hugo","PCG00131","Bureau de Poste Paris Victor Hugo","123 Avenue Victor Hugo","75116","PARIS","48.868025","2.282204"
"Auchan Plaisir RC","PCF00038-171309","Auchan Plaisir RC","161 Chemin departamental","78370","PLAISIR","48.828445","1.961557"
"DPD","PCF00013","Unternehmenszentrale","Wailandtstraße 1","63741","Aschaffenburg","49.944710","9.097847"
"Neopost Shipping","DEM99999","Neopost Shipping Cavaillon","127 Avenue J-Pierre Boitelet","84300","CAVAILLON","43.817310","5.044004"
"Bureau de Poste - Paris Mouffetard","PCG00129","Bureau de Poste Paris Mouffetard","10 rue de l'épée de bois","75005","PARIS","48.841903","2.350459"
"UNIVERSITY OF PITTSBURGH","USA00003","UNIVERSITY OF PITTSBURGH","230 South Bouquet Street","15260","PITTSBURGH","40.441638","-79.953820"
"Bureau de Poste - Paris Boucicaut","PCG00130","Bureau de Poste Paris Boucicaut","102 rue de la Convention","75015","PARIS","48.841450","2.287136"
"UNIVERSITY OF PITTSBURGH","USA00004","UNIVERSITY OF PITTSBURGH","4200 Fifth Ave","15260","PITTSBURGH","40.444282","-79.953303"
"Bureau de Poste - Paris Daguerre","PCG00141","Bureau de Poste Paris Daguerre","66 rue Daguerre","75014","PARIS","48.835247","2.326278"
"CC Italie Deux","PCF00030","CC Italie Deux","30 Avenue d'Italie","75013","PARIS","48.829847","2.355023"
"Bureau de Poste - Paris Moulin de la Pointe","PCG00133","Bureau de Poste Paris Moulin de la Pointe","2 rue du Moulin de la Pointe","75013","PARIS","48.825053","2.357252"
"Decathlon Ste Geneviève des Bois","PCF00043","Decathlon Ste Geneviève des Bois","ZI de la Croix Blanche","91700","SAINTE GENEVIEVE DES BOIS","48.625540","2.343887"
"Bureau de Poste - Paris Sorbonne","PCG00134","Bureau de Poste Paris Sorbonne","13 rue Cujas","75005","PARIS","48.847623","2.342769"
"Decathlon Brétigny","PCF00039-170501","Decathlon Brétigny","2 rue de Saugées","91220","BRETIGNY SUR ORGE","48.622760","2.300563"
"Bureau de Poste - Chatillon Maison Blanche","PCG00144","Bureau de Poste Chatillon Maison Blanche","1 allé Bernard de Jussieu","92320","CHATILLON","48.810388","2.300580"
"Bureau de Poste - Paris Porte Dorée","PCG00135","Bureau de Poste Paris Porte Dorée","15 B rue de Rottembourg","75012","PARIS","48.838250","2.405682"
"Auchan Maurepas","PCF00046","Auchan Maurepas","Avenue Gutenberg","78318","MAUREPAS","48.762758","1.918218"
"Auchan Leers RC","PCF00045","Auchan Leers RC","Avenue de L Europe","59115","LEERS","50.680792","3.219327"
